ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
5092,2021-04-01,Team Spirit,Parivision,Team Spirit,Силы света
5093,2020-01-10,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
5094,2023-10-30,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
5095,2020-09-10,Team Liquid,BetBoom Team,Team Liquid,Силы света
5096,2021-01-28,Team Spirit,Parivision,Parivision,Силы тьмы
5097,2021-03-31,BetBoom Team,Team Liquid,BetBoom Team,Силы света
5098,2023-03-02,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5099,2021-02-24,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
5100,2020-09-27,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
5101,2020-09-04,Heroic,Gaimin Gladiators,Heroic,Силы света
5102,2020-04-20,Heroic,Team Spirit,Heroic,Силы света
5103,2022-10-14,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
5104,2021-09-16,Parivision,Gaimin Gladiators,Parivision,Силы света
5105,2020-01-08,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
5106,2021-08-22,Team Spirit,Tundra Esports,Team Spirit,Силы света
5107,2022-01-02,Parivision,Heroic,Heroic,Силы тьмы
5108,2021-08-17,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
5109,2020-09-16,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
5110,2023-08-25,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
5111,2022-12-08,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
5112,2020-09-04,Parivision,Team Liquid,Parivision,Силы света
5113,2021-12-17,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
5114,2021-09-02,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
5115,2023-02-22,Azure Ray,Parivision,Parivision,Силы тьмы
5116,2023-10-26,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
5117,2022-02-18,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
5118,2023-01-03,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
5119,2023-07-07,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
5120,2020-07-01,BetBoom Team,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5121,2022-03-28,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
5122,2020-11-01,Heroic,Xtreme Gaming,Heroic,Силы света
5123,2022-04-29,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
5124,2020-08-01,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5125,2022-10-19,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
5126,2020-11-01,BetBoom Team,Heroic,Heroic,Силы тьмы
5127,2022-09-22,Azure Ray,BetBoom Team,Azure Ray,Силы света
5128,2020-07-31,Azure Ray,Parivision,Azure Ray,Силы света
5129,2020-12-07,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
5130,2020-07-22,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
5131,2021-01-06,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
5132,2020-11-20,BetBoom Team,Heroic,BetBoom Team,Силы света
5133,2020-10-29,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5134,2023-07-05,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
5135,2022-11-01,Parivision,Team Liquid,Team Liquid,Силы тьмы
5136,2022-05-07,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5137,2021-08-02,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5138,2020-04-27,Team Spirit,Parivision,Parivision,Силы тьмы
5139,2023-03-12,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
5140,2021-10-17,Team Spirit,Team Liquid,Team Spirit,Силы света
5141,2020-05-22,Team Spirit,Team Liquid,Team Spirit,Силы света
5142,2021-09-10,Team Spirit,Parivision,Parivision,Силы тьмы
5143,2023-10-17,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
5144,2023-06-10,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5145,2020-09-10,Team Liquid,Tundra Esports,Team Liquid,Силы света
5146,2022-12-10,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
5147,2021-08-29,Team Liquid,Tundra Esports,Team Liquid,Силы света
5148,2021-10-05,Azure Ray,Team Spirit,Azure Ray,Силы света
5149,2021-04-27,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5150,2023-02-13,Heroic,Tundra Esports,Heroic,Силы света
5151,2023-10-23,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
5152,2020-10-06,Parivision,Team Spirit,Team Spirit,Силы тьмы
5153,2023-04-23,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
5154,2022-02-19,Shopify Rebellion,Heroic,Shopify Rebellion,Силы света
5155,2023-02-09,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5156,2021-10-22,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
5157,2021-02-16,Azure Ray,Team Liquid,Azure Ray,Силы света
5158,2020-05-04,BetBoom Team,Parivision,BetBoom Team,Силы света
5159,2022-04-27,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5160,2020-01-31,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
5161,2022-06-29,BetBoom Team,Parivision,Parivision,Силы тьмы
5162,2022-07-22,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
5163,2021-01-22,Heroic,Team Spirit,Heroic,Силы света
5164,2021-12-19,Parivision,Gaimin Gladiators,Parivision,Силы света
5165,2023-04-15,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
5166,2022-04-26,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
5167,2021-10-10,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
5168,2022-12-27,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
5169,2020-05-05,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5170,2022-02-23,Team Liquid,Team Spirit,Team Liquid,Силы света
5171,2021-02-28,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5172,2022-07-16,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
5173,2023-02-21,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
5174,2020-08-13,BetBoom Team,Team Spirit,BetBoom Team,Силы света
5175,2023-01-12,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5176,2023-06-08,BetBoom Team,Parivision,BetBoom Team,Силы света
5177,2021-08-02,Heroic,BetBoom Team,Heroic,Силы света
5178,2021-02-26,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
5179,2022-08-18,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
5180,2020-12-04,Team Spirit,Heroic,Heroic,Силы тьмы
5181,2020-05-03,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
5182,2021-05-31,Parivision,Tundra Esports,Parivision,Силы света
5183,2023-09-27,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
5184,2020-10-08,Parivision,Gaimin Gladiators,Parivision,Силы света
5185,2023-08-28,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
5186,2023-03-19,Team Liquid,Team Spirit,Team Liquid,Силы света
5187,2023-08-22,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5188,2022-08-17,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5189,2020-09-02,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5190,2022-12-19,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
5191,2023-07-14,Team Spirit,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5192,2023-03-16,Team Liquid,Azure Ray,Team Liquid,Силы света
5193,2022-10-14,Azure Ray,Team Liquid,Azure Ray,Силы света
5194,2022-10-30,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5195,2021-08-24,Tundra Esports,Parivision,Tundra Esports,Силы света
5196,2022-02-16,Parivision,Team Spirit,Parivision,Силы света
5197,2021-02-08,Team Spirit,Azure Ray,Team Spirit,Силы света
5198,2023-03-23,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5199,2023-10-14,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5200,2021-01-30,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5201,2023-06-19,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5202,2023-11-23,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
5203,2022-03-18,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
5204,2021-09-20,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
5205,2023-05-13,Tundra Esports,Azure Ray,Tundra Esports,Силы света
5206,2023-04-27,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5207,2020-05-19,Azure Ray,Team Liquid,Azure Ray,Силы света
5208,2020-10-18,Heroic,Team Liquid,Heroic,Силы света
5209,2022-03-30,BetBoom Team,Heroic,BetBoom Team,Силы света
5210,2020-03-05,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
5211,2022-06-07,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
5212,2021-08-11,Team Liquid,Tundra Esports,Team Liquid,Силы света
5213,2023-09-19,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
5214,2021-04-09,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
5215,2022-06-12,Azure Ray,Team Spirit,Azure Ray,Силы света
5216,2023-05-19,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
5217,2020-05-27,Azure Ray,Parivision,Azure Ray,Силы света
5218,2020-08-11,Azure Ray,Heroic,Heroic,Силы тьмы
5219,2023-04-09,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
5220,2023-01-16,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
5221,2020-06-05,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
5222,2020-06-19,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
5223,2022-02-07,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
5224,2020-10-17,Shopify Rebellion,Heroic,Heroic,Силы тьмы
5225,2021-07-20,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5226,2020-07-20,Xtreme Gaming,Heroic,Heroic,Силы тьмы
5227,2023-05-30,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
5228,2023-05-29,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
5229,2021-06-14,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5230,2021-08-30,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
5231,2020-03-27,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
5232,2023-10-03,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
5233,2021-09-06,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
5234,2022-10-09,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
5235,2020-08-27,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
5236,2023-03-25,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5237,2021-03-15,BetBoom Team,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5238,2022-03-14,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5239,2022-07-15,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
5240,2023-03-22,Team Spirit,Heroic,Heroic,Силы тьмы
5241,2023-12-28,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5242,2021-02-06,Azure Ray,Parivision,Parivision,Силы тьмы
5243,2021-09-09,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
5244,2020-06-18,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
5245,2021-08-22,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
5246,2023-09-21,Team Liquid,Azure Ray,Team Liquid,Силы света
5247,2022-06-30,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
5248,2020-07-07,Heroic,Team Spirit,Heroic,Силы света
5249,2020-02-14,BetBoom Team,Parivision,BetBoom Team,Силы света
5250,2021-09-08,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
5251,2020-03-20,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
5252,2022-10-30,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
5253,2022-12-16,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5254,2023-07-21,Team Liquid,Parivision,Parivision,Силы тьмы
5255,2021-07-23,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
5256,2023-02-11,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
5257,2022-09-24,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
5258,2020-10-17,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
5259,2021-06-09,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
5260,2021-09-03,Team Spirit,Parivision,Team Spirit,Силы света
5261,2023-07-17,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
5262,2020-06-07,Parivision,Team Spirit,Team Spirit,Силы тьмы
5263,2023-12-27,Xtreme Gaming,Heroic,Heroic,Силы тьмы
5264,2022-05-13,Tundra Esports,Team Spirit,Tundra Esports,Силы света
5265,2023-12-31,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
5266,2023-04-04,Parivision,Tundra Esports,Parivision,Силы света
5267,2020-12-27,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
5268,2023-11-21,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5269,2022-03-19,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
5270,2021-09-08,Heroic,Team Liquid,Team Liquid,Силы тьмы
5271,2023-01-13,Tundra Esports,Heroic,Heroic,Силы тьмы
5272,2021-06-14,Parivision,Xtreme Gaming,Parivision,Силы света
5273,2020-02-16,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
5274,2023-12-12,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
5275,2022-09-28,Heroic,Tundra Esports,Heroic,Силы света
5276,2020-08-05,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5277,2020-11-15,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5278,2021-04-02,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
5279,2021-12-22,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
5280,2023-10-31,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
5281,2020-11-20,Gaimin Gladiators,BetBoom Team,BetBoom Team,Силы тьмы
5282,2021-11-12,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5283,2023-07-17,Tundra Esports,Team Spirit,Team Spirit,Силы тьмы
5284,2022-08-21,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
5285,2023-01-09,Heroic,Parivision,Heroic,Силы света
5286,2022-03-19,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
5287,2020-06-29,Parivision,Team Spirit,Parivision,Силы света
5288,2021-09-27,Heroic,Gaimin Gladiators,Heroic,Силы света
5289,2021-02-13,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
5290,2022-04-02,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
5291,2020-10-14,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
5292,2021-03-10,BetBoom Team,Parivision,Parivision,Силы тьмы
5293,2020-11-01,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5294,2023-05-21,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
5295,2022-02-18,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5296,2022-01-02,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
5297,2023-06-11,Team Liquid,Tundra Esports,Team Liquid,Силы света
5298,2023-06-14,Heroic,Team Spirit,Heroic,Силы света
5299,2023-03-28,Heroic,Team Liquid,Heroic,Силы света
5300,2021-09-15,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5301,2023-02-21,Parivision,Azure Ray,Azure Ray,Силы тьмы
5302,2023-06-01,Parivision,Shopify Rebellion,Parivision,Силы света
5303,2023-01-09,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
5304,2020-07-24,Team Spirit,Team Liquid,Team Spirit,Силы света
5305,2020-05-18,Team Spirit,Heroic,Team Spirit,Силы света
5306,2020-06-16,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5307,2020-12-08,Parivision,Team Liquid,Team Liquid,Силы тьмы
5308,2021-11-03,Heroic,Tundra Esports,Heroic,Силы света
5309,2021-11-26,Team Liquid,Parivision,Team Liquid,Силы света
5310,2023-08-22,Azure Ray,Parivision,Azure Ray,Силы света
5311,2023-11-24,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
5312,2020-06-05,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
5313,2023-05-05,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
5314,2022-03-27,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
5315,2022-08-12,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
5316,2023-05-30,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
5317,2020-06-28,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
5318,2020-04-09,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5319,2022-01-28,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
5320,2022-09-26,Team Liquid,Tundra Esports,Team Liquid,Силы света
5321,2020-10-01,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5322,2023-03-21,Azure Ray,Tundra Esports,Azure Ray,Силы света
5323,2022-12-15,Azure Ray,Team Spirit,Azure Ray,Силы света
5324,2023-10-01,Heroic,Parivision,Heroic,Силы света
5325,2020-02-10,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
5326,2020-08-11,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
5327,2022-04-19,Heroic,Xtreme Gaming,Heroic,Силы света
5328,2020-02-26,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
5329,2020-03-13,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
5330,2021-04-16,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
5331,2022-12-31,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5332,2020-02-05,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
5333,2021-12-13,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
5334,2020-12-05,Parivision,BetBoom Team,Parivision,Силы света
5335,2021-05-06,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
5336,2021-09-27,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
5337,2022-02-07,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5338,2020-09-08,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
5339,2023-09-26,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5340,2023-09-13,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
5341,2021-11-29,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5342,2021-10-26,Parivision,Azure Ray,Azure Ray,Силы тьмы
5343,2023-02-01,Team Spirit,Heroic,Team Spirit,Силы света
5344,2022-05-10,BetBoom Team,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5345,2021-05-04,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
5346,2020-11-21,Parivision,Azure Ray,Azure Ray,Силы тьмы
5347,2023-09-23,Team Liquid,Parivision,Team Liquid,Силы света
5348,2023-08-15,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
5349,2023-05-18,Team Liquid,Azure Ray,Team Liquid,Силы света
5350,2022-05-24,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
5351,2023-02-21,Team Spirit,Heroic,Heroic,Силы тьмы
5352,2023-12-02,Heroic,Xtreme Gaming,Heroic,Силы света
5353,2021-06-19,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
5354,2021-09-14,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
5355,2022-12-28,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
5356,2022-08-16,Azure Ray,Team Liquid,Azure Ray,Силы света
5357,2020-08-27,Heroic,Tundra Esports,Heroic,Силы света
5358,2020-09-10,BetBoom Team,Team Liquid,BetBoom Team,Силы света
5359,2021-09-20,BetBoom Team,Parivision,Parivision,Силы тьмы
5360,2023-02-24,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
5361,2020-07-28,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
5362,2021-01-19,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5363,2021-11-11,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
5364,2021-11-27,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
5365,2022-10-13,Team Spirit,Team Liquid,Team Spirit,Силы света
5366,2021-08-12,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
5367,2021-03-29,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
5368,2022-06-29,Parivision,Shopify Rebellion,Parivision,Силы света
5369,2020-10-10,Team Spirit,Parivision,Team Spirit,Силы света
5370,2020-02-21,Heroic,Parivision,Heroic,Силы света
5371,2022-08-28,Parivision,Gaimin Gladiators,Parivision,Силы света
5372,2022-09-09,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5373,2021-08-15,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
5374,2021-09-12,Xtreme Gaming,Heroic,Heroic,Силы тьмы
5375,2022-02-05,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
5376,2020-12-17,Tundra Esports,Parivision,Parivision,Силы тьмы
5377,2020-01-18,Parivision,Team Liquid,Team Liquid,Силы тьмы
5378,2022-08-03,Parivision,Gaimin Gladiators,Parivision,Силы света
5379,2022-10-02,Parivision,Azure Ray,Parivision,Силы света
5380,2021-04-03,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
5381,2020-11-10,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
5382,2021-12-19,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
5383,2021-10-09,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
5384,2022-10-23,Team Spirit,Team Liquid,Team Spirit,Силы света
5385,2020-07-29,Azure Ray,Tundra Esports,Azure Ray,Силы света
5386,2022-03-26,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
5387,2020-03-22,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5388,2023-04-09,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
5389,2020-05-22,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
5390,2021-03-04,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5391,2021-03-16,Parivision,Shopify Rebellion,Parivision,Силы света
5392,2020-05-05,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
5393,2020-03-11,Heroic,Parivision,Heroic,Силы света
5394,2021-05-19,Heroic,Parivision,Parivision,Силы тьмы
5395,2022-07-13,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
5396,2023-01-23,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
5397,2020-12-04,Azure Ray,Team Spirit,Azure Ray,Силы света
5398,2022-06-10,Heroic,Xtreme Gaming,Heroic,Силы света
5399,2021-06-09,Team Liquid,Parivision,Team Liquid,Силы света
5400,2021-08-07,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
5401,2020-05-05,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
5402,2020-02-26,Heroic,Azure Ray,Azure Ray,Силы тьмы
5403,2023-12-20,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
5404,2020-07-18,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
5405,2020-12-17,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
5406,2022-10-15,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5407,2021-05-19,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
5408,2022-09-17,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5409,2022-03-23,Team Liquid,Heroic,Heroic,Силы тьмы
5410,2023-01-15,Tundra Esports,Parivision,Parivision,Силы тьмы
5411,2022-02-15,BetBoom Team,Azure Ray,BetBoom Team,Силы света
5412,2021-03-20,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
5413,2023-12-16,Parivision,Shopify Rebellion,Parivision,Силы света
5414,2023-12-01,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
5415,2022-12-11,Team Liquid,Parivision,Parivision,Силы тьмы
5416,2023-06-16,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5417,2020-04-13,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
5418,2021-03-04,Shopify Rebellion,Heroic,Heroic,Силы тьмы
5419,2021-08-01,Heroic,Tundra Esports,Heroic,Силы света
5420,2023-05-25,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
5421,2020-06-20,Parivision,Team Spirit,Team Spirit,Силы тьмы
5422,2020-04-21,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
5423,2020-05-28,Heroic,Tundra Esports,Heroic,Силы света
5424,2022-01-12,Azure Ray,Tundra Esports,Azure Ray,Силы света
5425,2021-08-08,Parivision,Team Liquid,Parivision,Силы света
5426,2021-01-02,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5427,2023-04-16,Team Spirit,Parivision,Parivision,Силы тьмы
5428,2020-10-28,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
5429,2023-04-05,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5430,2023-12-19,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5431,2023-09-12,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
5432,2022-05-13,Heroic,Parivision,Heroic,Силы света
5433,2021-04-27,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
5434,2022-06-30,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
5435,2023-02-22,Team Liquid,Heroic,Team Liquid,Силы света
5436,2022-05-29,Team Spirit,Parivision,Team Spirit,Силы света
5437,2020-10-28,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
5438,2023-06-09,BetBoom Team,Parivision,BetBoom Team,Силы света
5439,2021-07-06,Azure Ray,BetBoom Team,Azure Ray,Силы света
5440,2022-05-28,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
5441,2023-02-03,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
